Wait Number    Global Offset of the Wait Instruction   Local Offset of the Wait Instruction    Global Offset of the Next Instruction   Local Offset of the Next Instruction    Mission Name                            
=======================================================================================================================================================================================================================
1              108811                                  14                                      108815                                  18                                      Intro Movie                             
2              109046                                  249                                     109050                                  253                                     Intro Movie                             
3              109137                                  340                                     109141                                  344                                     Intro Movie                             
4              109172                                  375                                     109176                                  379                                     Intro Movie                             
5              109468                                  671                                     109472                                  675                                     Intro Movie                             
6              109539                                  742                                     109543                                  746                                     Intro Movie                             
7              109835                                  1038                                    109839                                  1042                                    Intro Movie                             
8              109947                                  1150                                    109951                                  1154                                    Intro Movie                             
9              110045                                  1248                                    110049                                  1252                                    Intro Movie                             
10             110127                                  1330                                    110131                                  1334                                    Intro Movie                             
11             110209                                  1412                                    110213                                  1416                                    Intro Movie                             
12             110477                                  1680                                    110481                                  1684                                    Intro Movie                             
13             110745                                  1948                                    110749                                  1952                                    Intro Movie                             
14             110840                                  2043                                    110844                                  2047                                    Intro Movie                             
15             110916                                  2119                                    110920                                  2123                                    Intro Movie                             
16             110986                                  2189                                    110990                                  2193                                    Intro Movie                             
17             111072                                  2275                                    111076                                  2279                                    Intro Movie                             
18             111143                                  2346                                    111147                                  2350                                    Intro Movie                             
19             111214                                  2417                                    111218                                  2421                                    Intro Movie                             
20             111287                                  2490                                    111291                                  2494                                    Intro Movie                             
21             111388                                  2591                                    111392                                  2595                                    Intro Movie                             
22             111451                                  2654                                    111455                                  2658                                    Intro Movie                             
23             111848                                  3051                                    111852                                  3055                                    Intro Movie                             
24             111895                                  3098                                    111899                                  3102                                    Intro Movie                             
25             111965                                  3168                                    111969                                  3172                                    Intro Movie                             
26             112388                                  3591                                    112392                                  3595                                    Intro Movie                             
27             112585                                  3788                                    112589                                  3792                                    Intro Movie                             
28             112718                                  3921                                    112722                                  3925                                    Intro Movie                             
29             112840                                  4043                                    112844                                  4047                                    Intro Movie                             
30             113055                                  4258                                    113059                                  4262                                    Intro Movie                             
31             113177                                  4380                                    113181                                  4384                                    Intro Movie                             
32             113413                                  4616                                    113417                                  4620                                    Intro Movie                             
