Mission Name                            Stack (Local Offset)
=======================================================
Intro Movie                             682            
Hospital Info Scene                     7              
Police Station Info Scene               7              
RC Diablo Destruction                   17             
RC Mafia Massacre                       17             
RC Rumpo Rampage                        17             
RC Casino Calamity                      17             
Patriot Playground                      7              
A Ride In The Park                      7              
Gripped!                                7              
Multistorey Mayhem                      7              
Paramedic                               7              
Firefighter                             7              
Vigilante                               7              
Taxi Driver                             7              
The Crook                               17             
The Thieves                             17             
The Wife                                17             
Her Lover                               17             
Give Me Liberty and Luigi's Girls       17             
Don't Spank My Bitch Up                 17             
Drive Misty For Me                      17             
Pump-Action Pimp                        17             
The Fuzz Ball                           17             
Mike Lips Last Lunch                    7              
Farewell 'Chunky' Lee Chong             7              
Van Heist                               7              
Cipriani's Chauffeur                    7              
Dead Skunk In The Trunk                 7              
The Getaway                             7              
Taking Out The Laundry                  7              
The Pick-Up                             7              
Salvatore's Called A Meeting            7              
Triads And Tribulations                 7              
Blow Fish                               7              
Chaperone                               7              
Cutting The Grass                       17             
Bomb Da Base: Act I                     17             
Bomb Da Base: Act II                    17             
Last Requests                           7              
Turismo                                 7              
I Scream, You Scream                    7              
Trial By Fire                           7              
Big'N'Veiny                             7              
Sayonara Salvatore                      7              
Under Surveillance                      7              
Paparazzi Purge                         7              
Payday For Ray                          7              
Two-Faced Tanner                        7              
Kanbu Bust-Out                          17             
Grand Theft Auto                        17             
Deal Steal                              17             
Shima                                   17             
Smack Down                              7              
Silence The Sneak                       7              
Arms Shortage                           7              
Evidence Dash                           7              
Gone Fishing                            7              
Plaster Blaster                         7              
Marked Man                              7              
Liberator                               17             
Waka-Gashira Wipeout!                   7              
A Drop In The Ocean                     7              
Bling-Bling Scramble                    7              
Uzi Rider                               7              
Gangcar Round-Up                        7              
Kingdom Come                            7              
Grand Theft Aero                        7              
Escort Service                          7              
Decoy                                   7              
Love's Disappearance                    7              
Bait                                    7              
Espresso-2-Go!                          7              
S.A.M.                                  7              
Uzi Money                               17             
Toyminator                              17             
Rigged To Blow                          17             
Bullion Run                             17             
Rumble                                  17             
The Exchange                            7
